invoice_id,flagged,error_category,expected_total_cents,billed_total_cents,confidence
INV-H1-000271,1,effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,5043791,5139791,0.65
INV-H1-000272,0,,1597704,1597704,0.9
INV-H1-000273,0,,1306725,1306725,0.95
INV-H1-000274,1,service_date_after_invoice_date,4830260,4830260,0.65
INV-H1-000275,0,,1307228,1307228,0.9
INV-H1-000276,0,,1799385,1799385,0.9
INV-H1-000277,0,,3327275,3327275,0.95
INV-H1-000279,0,,6811727,6811727,0.9
INV-H1-000280,0,,610500,610500,0.95
INV-H1-000281,1,malformed_service_date;invoice_total_mismatch;effective_rate_mismatch;line_amount_mismatch,5722583,5732823,0.65
INV-H1-000283,1,contract_number_mismatch;invoice_total_mismatch,1906268,1881268,0.65
INV-H1-000284,0,,4714099,4714099,0.9
INV-H1-000287,0,,6027372,6027372,0.95
INV-H1-000289,0,,3937921,3937921,0.9
INV-H1-000290,0,,2638495,2638495,0.95
INV-H1-000291,0,,1087125,1087125,0.95
INV-H1-000293,0,,1998575,1998575,0.9
INV-H1-000294,0,,3254027,3254027,0.95
INV-H1-000296,0,,1028250,1028250,0.95
INV-H1-000299,0,,1765725,1765725,0.95
INV-H1-000302,0,,2047225,2047225,0.95
INV-H1-000303,0,,1755545,1755545,0.95
INV-H1-000304,1,unknown_service;wrong_unit_basis;effective_rate_mismatch;line_amount_mismatch,1556380,1878062,0.65
INV-H1-000305,0,,3792595,3792595,0.95
INV-H1-000306,0,,1378286,1378286,0.95
INV-H1-000308,0,,2262777,2262777,0.9
INV-H1-000309,0,,3586962,3586962,0.95
INV-H1-000310,0,,2067950,2067950,0.9
INV-H1-000311,0,,5054797,5054797,0.95
INV-H1-000314,0,,1964300,1964300,0.95
INV-H1-000315,0,,2377226,2377226,0.9
INV-H1-000316,0,,3615350,3615350,0.95
INV-H1-000317,0,,3938225,3938225,0.95
INV-H1-000318,0,,2883937,2883937,0.95
INV-H1-000319,0,,1087921,1087921,0.9
INV-H1-000321,0,,1654264,1654264,0.95
INV-H1-000322,0,,5109300,5109300,0.95
INV-H1-000323,0,,3047421,3047421,0.95
INV-H1-000325,0,,536860,536860,0.95
INV-H1-000326,0,,4087586,4087586,0.9
INV-H1-000327,0,,2505119,2505119,0.9
INV-H1-000328,0,,1134870,1134870,0.95
INV-H1-000330,0,,2678730,2678730,0.95
INV-H1-000331,0,,3391248,3391248,0.9
INV-H1-000333,0,,1720900,1720900,0.95
INV-H1-000334,0,,3936038,3936038,0.95
INV-H1-000337,0,,2136588,2136588,0.95
INV-H1-000339,0,,3912969,3912969,0.9
INV-H1-000340,0,,576905,576905,0.95
INV-H1-000342,0,,1577666,1577666,0.95
INV-H1-000343,0,,3194404,3194404,0.95
INV-H1-000344,0,,1373305,1373305,0.9
INV-H1-000345,0,,4950257,4950257,0.9
INV-H1-000348,1,unknown_service;wrong_unit_basis;effective_rate_mismatch;line_amount_mismatch,4433213,4415338,0.65
INV-H1-000350,0,,3941391,3941391,0.95
INV-H1-000351,0,,2695558,2695558,0.9
INV-H1-000352,1,invoice_total_mismatch;effective_rate_mismatch;line_amount_mismatch,1772000,1971430,0.65
INV-H1-000353,0,,4603398,4603398,0.95
INV-H1-000354,0,,1285121,1285121,0.95
INV-H1-000355,0,,2311350,2311350,0.95
INV-H1-000356,0,,1688485,1688485,0.95
INV-H1-000357,0,,2148982,2148982,0.9
INV-H1-000358,0,,1266351,1266351,0.9
INV-H1-000360,0,,1356858,1356858,0.95
INV-H1-000362,1,effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,2585375,2702627,0.65
INV-H1-000363,0,,4940256,4940256,0.9
INV-H1-000364,0,,2135850,2135850,0.9
INV-H1-000365,0,,851758,851758,0.95
INV-H1-000366,0,,3533188,3533188,0.95
INV-H1-000367,0,,5712533,5712533,0.9
INV-H1-000368,0,,2639691,2639691,0.95
INV-H1-000369,1,unknown_service;wrong_unit_basis;effective_rate_mismatch;line_amount_mismatch,5369613,5369613,0.65
INV-H1-000370,0,,5129544,5129544,0.95
INV-H1-000371,0,,4868595,4868595,0.95
INV-H1-000372,0,,2622700,2622700,0.95
INV-H1-000373,0,,4111730,4111730,0.9
INV-H1-000374,0,,2654366,2654366,0.95
INV-H1-000375,0,,2522051,2522051,0.95
INV-H1-000376,0,,1924073,1924073,0.95
INV-H1-000377,0,,1769400,1769400,0.95
INV-H1-000378,0,,4478725,4478725,0.95
INV-H1-000379,0,,1597325,1597325,0.9
INV-H1-000382,0,,491735,491735,0.95
INV-H1-000388,0,,1449822,1449822,0.9
INV-H1-000389,0,,808400,808400,0.95
INV-H1-000390,0,,3234713,3234713,0.9
INV-H1-000391,0,,1280575,1280575,0.95
INV-H1-000392,0,,1284269,1284269,0.9
INV-H1-000393,0,,1456650,1456650,0.95
INV-H1-000395,0,,2080896,2080896,0.95
INV-H1-000396,0,,3461313,3461313,0.95
INV-H1-000397,0,,545155,545155,0.9
INV-H1-000398,0,,2007470,2007470,0.95
INV-H1-000399,0,,2366250,2366250,0.95
INV-H1-000401,0,,5262007,5262007,0.95
INV-H1-000402,0,,4234035,4234035,0.9
INV-H1-000403,0,,4418733,4418733,0.9
INV-H1-000404,0,,4829725,4829725,0.9
INV-H1-000407,0,,1979738,1979738,0.95
INV-H1-000408,0,,2481807,2481807,0.9
INV-H1-000409,0,,2308621,2308621,0.9
INV-H1-000410,1,unknown_service,971719,971719,0.65
INV-H1-000411,0,,5180539,5180539,0.9
INV-H1-000412,0,,2080883,2080883,0.95
INV-H1-000413,0,,2339140,2339140,0.95
INV-H1-000414,0,,2722135,2722135,0.9
INV-H1-000416,0,,4179994,4179994,0.95
INV-H1-000417,0,,2093475,2093475,0.95
INV-H1-000418,0,,1869430,1869430,0.9
INV-H1-000421,0,,2719245,2719245,0.9
INV-H1-000423,0,,1024610,1024610,0.9
INV-H1-000424,0,,2025556,2025556,0.95
INV-H1-000425,0,,1800975,1800975,0.95
INV-H1-000426,0,,3325694,3325694,0.9
INV-H1-000427,0,,3572085,3572085,0.9
INV-H1-000428,0,,3561933,3561933,0.95
INV-H1-000429,1,duplicate_invoice_id,5458136,5458136,0.65
INV-H1-000430,0,,1157907,1157907,0.95
INV-H1-000431,0,,3632283,3632283,0.9
INV-H1-000432,0,,2112125,2112125,0.95
INV-H1-000434,0,,2387865,2387865,0.9
INV-H1-000436,0,,3772569,3772569,0.9
INV-H1-000437,0,,621988,621988,0.9
INV-H1-000439,0,,3233525,3233525,0.9
INV-H1-000444,0,,977472,977472,0.95
INV-H1-000446,0,,3016748,3016748,0.9
INV-H1-000447,0,,3929492,3929492,0.95
INV-H1-000448,0,,1964750,1964750,0.95
INV-H1-000449,0,,1815814,1815814,0.95
INV-H1-000451,0,,1300046,1300046,0.95
INV-H1-000452,0,,3922869,3922869,0.9
INV-H1-000453,0,,3003799,3003799,0.9
INV-H1-000454,0,,2777454,2777454,0.95
INV-H1-000455,0,,957925,957925,0.95
INV-H1-000457,1,duplicate_invoice_id;wrong_unit_basis,1922972,1922972,0.65
INV-H1-000458,1,effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,1831611,1899303,0.65
INV-H1-000459,0,,3069167,3069167,0.9
INV-H1-000462,0,,4025065,4025065,0.9
INV-H1-000463,0,,1625250,1625250,0.95
INV-H1-000464,0,,2869875,2869875,0.95
INV-H1-000465,0,,3242265,3242265,0.95
INV-H1-000466,0,,4118773,4118773,0.95
INV-H1-000467,0,,1593117,1593117,0.95
INV-H1-000468,0,,2322788,2322788,0.95
INV-H1-000470,0,,1483021,1483021,0.95
INV-H1-000471,0,,3544700,3544700,0.95
INV-H1-000472,0,,3796850,3796850,0.9
INV-H1-000474,0,,4779128,4779128,0.9
INV-H1-000475,0,,5031578,5031578,0.95
INV-H1-000476,0,,2133950,2133950,0.9
INV-H1-000477,0,,5055131,5055131,0.9
INV-H1-000479,0,,1168772,1168772,0.95
INV-H1-000481,0,,1713420,1713420,0.95
INV-H1-000482,0,,4322390,4322390,0.9
INV-H1-000484,0,,3236961,3236961,0.95
INV-H1-000486,0,,2381026,2381026,0.9
INV-H1-000487,0,,4225949,4225949,0.95
INV-H1-000488,0,,2827787,2827787,0.9
INV-H1-000490,0,,4113835,4113835,0.95
INV-H1-000492,0,,3432865,3432865,0.95
INV-H1-000493,0,,2157125,2157125,0.95
INV-H1-000494,0,,3822326,3822326,0.95
INV-H1-000495,0,,4051133,4051133,0.95
INV-H1-000498,0,,2472768,2472768,0.9
INV-H1-000500,0,,1796300,1796300,0.95
INV-H1-000502,0,,2888275,2888275,0.9
INV-H1-000503,0,,2860075,2860075,0.95
INV-H1-000505,0,,1186370,1186370,0.95
INV-H1-000507,0,,3104690,3104690,0.95
INV-H1-000508,0,,3881260,3881260,0.9
INV-H1-000509,0,,2951276,2951276,0.95
INV-H1-000512,0,,2026594,2026594,0.9
INV-H1-000513,0,,3102116,3102116,0.95
INV-H1-000514,0,,2518898,2518898,0.9
INV-H1-000516,0,,1969332,1969332,0.9
INV-H1-000520,0,,2528900,2528900,0.95
INV-H1-000521,0,,4813865,4813865,0.95
INV-H1-000523,0,,1034967,1034967,0.95
INV-H1-000524,0,,1006925,1006925,0.95
INV-H1-000526,0,,2853443,2853443,0.95
INV-H1-000530,0,,3123234,3123234,0.95
INV-H1-000531,0,,1439690,1439690,0.95
INV-H1-000532,0,,3725016,3725016,0.95
INV-H1-000533,0,,3678930,3678930,0.9
INV-H1-000534,0,,483200,483200,0.9
INV-H1-000535,0,,1985850,1985850,0.95
INV-H1-000537,0,,1414988,1414988,0.95
INV-H1-000538,0,,1508111,1508111,0.95
INV-H1-000539,0,,1673975,1673975,0.95
INV-H1-000541,0,,4089849,4089849,0.95
INV-H1-000542,0,,4335500,4335500,0.9
INV-H1-000545,0,,1743882,1743882,0.9
INV-H1-000548,1,duplicate_invoice_id,2115965,2115965,0.65
INV-H1-000549,0,,4857904,4857904,0.95
INV-H1-000552,1,malformed_service_date;wrong_unit_basis;line_total_arithmetic;line_amount_mismatch;line_arithmetic_mismatch,2787842,2780342,0.65
INV-H1-000557,0,,2381206,2381206,0.9
INV-H1-000558,0,,3257504,3257504,0.9
INV-H1-000559,0,,871783,871783,0.95
INV-H1-000560,0,,4343939,4343939,0.9
INV-H1-000561,0,,1946700,1946700,0.9
INV-H1-000566,0,,2069575,2069575,0.9
INV-H1-000568,0,,1385815,1385815,0.95
INV-H1-000571,1,unknown_service;line_total_arithmetic,1534690,1542190,0.65
INV-H1-000572,0,,1345050,1345050,0.95
INV-H1-000573,0,,4519958,4519958,0.9
INV-H1-000574,0,,525025,525025,0.95
INV-H1-000575,0,,3019350,3019350,0.95
INV-H1-000577,0,,1738976,1738976,0.9
INV-H1-000578,0,,1106125,1106125,0.95
INV-H1-000579,0,,1017624,1017624,0.9
INV-H1-000581,0,,420920,420920,0.95
INV-H1-000582,0,,3845079,3845079,0.95
INV-H1-000586,0,,3849719,3849719,0.9
INV-H1-000587,0,,945025,945025,0.9
INV-H1-000588,0,,2671035,2671035,0.9
INV-H1-000592,0,,3109557,3109557,0.95
INV-H1-000595,0,,1158720,1158720,0.95
INV-H1-000599,0,,1920921,1920921,0.95
INV-H1-000600,0,,1088500,1088500,0.95
INV-H1-000602,0,,3950832,3950832,0.9
INV-H1-000605,0,,3888554,3888554,0.95
INV-H1-000607,0,,5830363,5830363,0.9
INV-H1-000609,0,,1484300,1484300,0.95
INV-H1-000612,0,,3505097,3505097,0.95
INV-H1-000617,0,,2600735,2600735,0.95
INV-H1-000618,0,,1400204,1400204,0.95
INV-H1-000620,0,,7140902,7140902,0.9
INV-H1-000621,0,,2708396,2708396,0.95
INV-H1-000622,0,,1015412,1015412,0.95
INV-H1-000623,0,,663475,663475,0.95
INV-H1-000624,0,,1860624,1860624,0.95
INV-H1-000625,0,,4725499,4725499,0.95
INV-H1-000628,0,,4203380,4203380,0.95
INV-H1-000629,1,contract_number_mismatch,3852708,3852708,0.65
INV-H1-000630,0,,2093686,2093686,0.9
INV-H1-000631,0,,1118472,1118472,0.95
INV-H1-000632,0,,2340620,2340620,0.95
INV-H1-000635,1,wrong_unit_basis;effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,1820675,1782497,0.65
INV-H1-000636,0,,2374500,2374500,0.95
INV-H1-000638,0,,1080593,1080593,0.95
INV-H1-000640,0,,3547303,3547303,0.95
INV-H1-000642,0,,4331980,4331980,0.95
INV-H1-000643,0,,4148836,4148836,0.9
INV-H1-000644,0,,2695347,2695347,0.95
INV-H1-000645,0,,1936535,1936535,0.95
INV-H1-000647,0,,2769575,2769575,0.95
INV-H1-000648,0,,2171482,2171482,0.95
INV-H1-000649,0,,2071024,2071024,0.9
INV-H1-000650,1,malformed_service_date,1706534,1706534,0.65
INV-H1-000651,0,,2851295,2851295,0.9
INV-H1-000652,0,,1919263,1919263,0.9
INV-H1-000653,0,,3441128,3441128,0.95
INV-H1-000656,0,,3242574,3242574,0.9
INV-H1-000657,1,wrong_unit_basis,4217639,4217639,0.65
INV-H1-000659,1,service_date_out_of_window;effective_rate_mismatch;line_amount_mismatch,3593985,3686985,0.65
INV-H1-000662,0,,3776025,3776025,0.95
INV-H1-000663,0,,1212782,1212782,0.95
INV-H1-000664,0,,1051575,1051575,0.9
INV-H1-000665,0,,3905115,3905115,0.95
INV-H1-000666,0,,3597600,3597600,0.9
INV-H1-000667,1,unknown_service;wrong_unit_basis;effective_rate_mismatch;line_amount_mismatch,1714655,2053255,0.65
INV-H1-000671,0,,3243888,3243888,0.95
INV-H1-000672,0,,2842325,2842325,0.95
INV-H1-000673,0,,2680725,2680725,0.95
INV-H1-000674,1,service_date_after_invoice_date,2416832,2416832,0.65
INV-H1-000675,1,cross_invoice_duplicate;effective_rate_mismatch;line_amount_mismatch,1302105,1380400,0.65
INV-H1-000676,0,,4806734,4806734,0.9
INV-H1-000677,1,cross_invoice_duplicate;wrong_unit_basis;effective_rate_mismatch;line_amount_mismatch,4656053,5360228,0.65
INV-H1-000679,0,,2367163,2367163,0.9
INV-H1-000681,0,,2649415,2649415,0.9
INV-H1-000682,0,,1825648,1825648,0.95
INV-H1-000685,0,,1934580,1934580,0.9
INV-H1-000686,0,,2965003,2965003,0.95
INV-H1-000688,0,,2320550,2320550,0.95
INV-H1-000689,0,,1039568,1039568,0.9
INV-H1-000690,0,,2820307,2820307,0.9
INV-H1-000691,0,,3328275,3328275,0.95
INV-H1-000693,0,,3469593,3469593,0.95
INV-H1-000695,0,,1738208,1738208,0.95
INV-H1-000696,0,,2209233,2209233,0.9
INV-H1-000697,0,,4420451,4420451,0.95
INV-H1-000698,0,,3421145,3421145,0.95
INV-H1-000699,0,,3027125,3027125,0.95
INV-H1-000702,0,,4360605,4360605,0.95
INV-H1-000703,1,wrong_unit_basis;line_total_arithmetic;invoice_amount_mismatch;line_amount_mismatch;line_arithmetic_mismatch,1084453,1076953,0.65
INV-H1-000704,0,,3733390,3733390,0.95
INV-H1-000705,0,,904483,904483,0.9
INV-H1-000706,0,,1987700,1987700,0.95
INV-H1-000707,0,,1936925,1936925,0.95
INV-H1-000708,0,,2353606,2353606,0.9
INV-H1-000710,0,,3650814,3650814,0.9
INV-H1-000711,0,,2413074,2413074,0.95
INV-H1-000713,0,,2411518,2411518,0.95
INV-H1-000715,0,,970020,970020,0.95
INV-H1-000716,0,,1749386,1749386,0.9
INV-H1-000717,1,wrong_unit_basis,2651162,2651162,0.65
INV-H1-000718,0,,783025,783025,0.95
INV-H1-000719,0,,845310,845310,0.95
INV-H1-000720,0,,3139824,3139824,0.95
INV-H1-000721,0,,1292690,1292690,0.9
INV-H1-000722,0,,1594886,1594886,0.95
INV-H1-000723,0,,1427400,1427400,0.9
INV-H1-000724,0,,2600041,2600041,0.95
INV-H1-000729,0,,3644405,3644405,0.9
INV-H1-000730,0,,1178920,1178920,0.95
INV-H1-000731,0,,1744546,1744546,0.9
INV-H1-000733,0,,4090367,4090367,0.9
INV-H1-000734,0,,2489815,2489815,0.95
INV-H1-000735,0,,1067857,1067857,0.95
INV-H1-000737,0,,2828108,2828108,0.95
INV-H1-000738,0,,1219150,1219150,0.95
INV-H1-000740,0,,3197252,3197252,0.95
INV-H1-000741,0,,1896825,1896825,0.95
INV-H1-000742,0,,1375129,1375129,0.9
INV-H1-000743,0,,1134176,1134176,0.95
INV-H1-000744,0,,3569096,3569096,0.95
INV-H1-000745,0,,2158353,2158353,0.95
INV-H1-000746,0,,2466869,2466869,0.95
INV-H1-000747,0,,5741085,5741085,0.9
INV-H1-000748,1,service_date_out_of_window;service_date_after_invoice_date,5359331,5359331,0.65
INV-H1-000752,0,,1357904,1357904,0.95
INV-H1-000753,0,,1630750,1630750,0.95
INV-H1-000755,0,,833600,833600,0.95
INV-H1-000756,0,,2783615,2783615,0.9
INV-H1-000757,0,,3577253,3577253,0.9
INV-H1-000758,0,,2229604,2229604,0.9
INV-H1-000759,0,,2822035,2822035,0.9
INV-H1-000764,0,,3477914,3477914,0.95
INV-H1-000765,0,,3794865,3794865,0.95
INV-H1-000766,0,,1177997,1177997,0.95
INV-H1-000768,0,,2781754,2781754,0.9
INV-H1-000769,0,,1679020,1679020,0.95
INV-H1-000771,0,,5299935,5299935,0.95
